Timestamp,Temperature,Humidity,Soil_Moisture,Light_Intensity,Pump_Status
2026-06-09 12:07:27.265097,39.47,60.79,87.69,740,OFF
2026-06-09 12:07:27.265097,31.24,62.41,14.62,866,ON
2026-06-09 12:07:27.265097,20.83,58.07,14.19,564,ON
2026-06-09 12:07:27.265097,29.85,67.59,93.18,244,OFF
2026-06-09 12:07:27.265097,26.97,79.11,46.02,102,OFF
2026-06-09 12:07:27.265097,24.16,67.64,51.47,505,OFF
2026-06-09 12:07:27.265097,21.34,48.89,67.95,527,OFF
2026-06-09 12:07:27.265097,26.86,45.21,45.6,991,OFF
2026-06-09 12:07:27.265097,30.16,57.99,47.97,338,OFF
2026-06-09 12:07:27.265097,20.12,36.62,89.78,440,OFF
2026-06-09 12:07:27.265097,28.34,72.91,54.78,105,OFF
2026-06-09 12:07:27.265097,20.74,39.72,66.55,853,OFF
2026-06-09 12:07:27.265097,27.29,63.22,10.21,889,ON
2026-06-09 12:07:27.265097,31.39,63.5,39.27,489,OFF
2026-06-09 12:07:27.265097,27.19,83.4,79.53,120,OFF
2026-06-09 12:07:27.265097,39.41,41.3,12.15,491,ON
2026-06-09 12:07:27.265097,26.09,77.02,66.09,585,OFF
2026-06-09 12:07:27.265097,38.61,79.52,58.0,705,OFF
2026-06-09 12:07:27.265097,27.59,36.81,93.64,893,OFF
2026-06-09 12:07:27.265097,33.57,43.59,43.18,857,OFF
2026-06-09 12:07:27.265097,29.23,31.35,39.36,998,OFF
2026-06-09 12:07:27.265097,24.74,87.49,34.55,639,OFF
2026-06-09 12:07:27.265097,34.34,85.71,46.18,223,OFF
2026-06-09 12:07:27.265097,24.67,58.13,88.88,439,OFF
2026-06-09 12:07:27.265097,36.89,36.6,95.73,891,OFF
2026-06-09 12:07:27.265097,25.31,64.61,76.27,650,OFF
2026-06-09 12:07:27.265097,34.66,84.05,23.77,327,ON
2026-06-09 12:07:27.265097,36.4,39.97,65.65,970,OFF
2026-06-09 12:07:27.265097,21.01,76.88,53.44,132,OFF
2026-06-09 12:07:27.265097,36.58,85.91,88.71,520,OFF
